mechanism,rate,feature,auroc_mean,auroc_std,missing_rate_mean,n_seeds,leak_strength
MAR,0.2,lab_50802,0.2674814984589343,0.01068148491745948,0.8615936368155671,20,0.23251850154106568
MAR,0.2,lab_50820,0.26789269696472545,0.011609485026443534,0.8535295788651375,20,0.23210730303527455
MAR,0.2,lab_50821,0.27246570920165425,0.010982472899021309,0.8619345216959022,20,0.22753429079834575
MAR,0.2,lab_50861,0.3967706928424612,0.009742509781165013,0.6459022796676372,20,0.10322930715753881
MAR,0.2,lab_50863,0.3963278934317748,0.009939435538046175,0.6559832398267169,20,0.10367210656822518
MAR,0.2,lab_50868,0.50682025893812,0.014871227349608772,0.3202258362332221,20,0.006820258938119994
MAR,0.2,lab_50878,0.39734880111967963,0.012742035566516126,0.6444961295362546,20,0.10265119888032037
MAR,0.2,lab_50882,0.49977566919623173,0.012476490779259124,0.32138697535686384,20,0.00022433080376826897
MAR,0.2,lab_50885,0.3907941424440557,0.009842981596120107,0.6547581847880122,20,0.10920585755594431
MAR,0.2,lab_50893,0.4807544280958811,0.012659916348901812,0.37941197358142176,20,0.019245571904118908
MAR,0.2,lab_50902,0.5070115792636185,0.01310437420731864,0.3169199630708046,20,0.007011579263618506
MAR,0.2,lab_50912,0.5123238491265937,0.01238342883734866,0.3048895675023081,20,0.012323849126593678
MAR,0.2,lab_50931,0.5081239463820679,0.010889362905575444,0.3246679923300902,20,0.008123946382067926
MAR,0.2,lab_50960,0.48517407671417356,0.012279369761927205,0.3657694765996733,20,0.014825923285826437
MAR,0.2,lab_50970,0.4783582347785413,0.012943980280464595,0.38184788012215043,20,0.02164176522145872
MAR,0.2,lab_50971,0.5062003621534943,0.009156559698557581,0.3124955613947873,20,0.006200362153494288
MAR,0.2,lab_50983,0.503683311913246,0.008222914687974396,0.31628435480434625,20,0.0036833119132460013
MAR,0.2,lab_51006,0.5073735292094136,0.010667875307946611,0.3139798309779135,20,0.007373529209413587
MAR,0.2,lab_51221,0.5264874103216188,0.009909310576843173,0.2779809672608479,20,0.02648741032161883
