mechanism,rate,split,seed,top1_model,top1_auroc,top2_model,top2_auroc,gap
MAR,0.0,S2,1003,xgb,0.9570175299972792,rf,0.9487448222789456,0.00827270771833355
MAR,0.0,S2,1004,xgb,0.9554435685130205,rf,0.9507868502472464,0.0046567182657740736
MAR,0.0,S2,1005,xgb,0.9574439560358007,rf,0.9516789153913191,0.005765040644481578
MAR,0.0,S2,1006,xgb,0.9538152843972177,rf,0.9494840607215206,0.00433122367569716
MAR,0.0,S2,1007,xgb,0.957602446864475,rf,0.9494855057516386,0.008116941112836451
MAR,0.0,S2,1008,xgb,0.9568999956244472,rf,0.9474312804940148,0.009468715130432348
MAR,0.0,S2,1009,xgb,0.9565586085605986,rf,0.9499651733909303,0.00659343516966826
MAR,0.0,S2,1010,xgb,0.9585421807235592,extratrees,0.948325868431585,0.010216312291974283
MAR,0.0,S2,1011,xgb,0.9566203155412056,extratrees,0.9481265139843508,0.008493801556854863
MAR,0.0,S2,1012,xgb,0.9527895192510186,extratrees,0.948171125140153,0.00461839411086562
MAR,0.0,S2,1013,xgb,0.9588901979371489,extratrees,0.9514537354449086,0.007436462492240281
MAR,0.0,S2,1014,xgb,0.95592632211658,rf,0.9492537688399263,0.0066725532766537254
MAR,0.0,S2,1015,xgb,0.9562690215866511,extratrees,0.946373658502686,0.009895363083965103
MAR,0.0,S2,1016,xgb,0.9588392574046065,extratrees,0.9487013037975046,0.010137953607101902
MAR,0.0,S2,1017,xgb,0.9585855573469606,rf,0.9513151350293333,0.007270422317627312
MAR,0.0,S2,1018,xgb,0.9563580573387547,rf,0.9490359347447315,0.007322122594023206
MAR,0.0,S2,1019,xgb,0.9581669660773142,rf,0.9493444817258727,0.008822484351441506
MAR,0.0,S2,1020,xgb,0.9557001805864527,rf,0.9499417211668906,0.005758459419562101
MAR,0.05,S1,1001,xgb,0.9537144863613942,extratrees,0.9469835781231591,0.006730908238235078
MAR,0.05,S1,1002,xgb,0.9521841663797221,extratrees,0.9429255970981126,0.009258569281609508
MAR,0.05,S1,1003,extratrees,0.9471184330804017,xgb,0.9465868376840975,0.0005315953963042075
MAR,0.05,S1,1004,xgb,0.9500526514632197,rf,0.9491555594798236,0.0008970919833961588
MAR,0.05,S1,1005,xgb,0.953671443734752,extratrees,0.9475165017931836,0.006154941941568404
MAR,0.05,S1,1006,xgb,0.9494041819179786,rf,0.9448321416277965,0.0045720402901821
MAR,0.05,S1,1007,xgb,0.9491279148992398,extratrees,0.9474319536435578,0.0016959612556819437
