mechanism,rate,split,seed,winner_model,winner_auroc,winner_ap,winner_brier
MAR,0.05,S2,1015,xgb,0.9522713080363975,0.5208550188435297,0.01699325107038016
MAR,0.05,S2,1016,xgb,0.9522528125328241,0.5227201536947714,0.01671639103442426
MAR,0.05,S2,1017,xgb,0.9545319582921623,0.53778365479814,0.0164077995344996
MAR,0.05,S2,1018,xgb,0.9472049865239681,0.4930349898923147,0.01760582812130446
MAR,0.05,S2,1019,xgb,0.9573046493082037,0.5471798205022239,0.0163034321740269
MAR,0.05,S2,1020,xgb,0.9515310502065428,0.5138657933800795,0.0170905485749244
MAR,0.1,S1,1001,xgb,0.9499476079627254,0.5037088624374662,0.01724199764430518
MAR,0.1,S1,1002,xgb,0.9466753895770943,0.49591563550820583,0.01762594915926454
MAR,0.1,S1,1003,xgb,0.9446531494280646,0.5137112351943236,0.01707134209573264
MAR,0.1,S1,1004,xgb,0.9439355857200209,0.4883439921986142,0.017650945484638157
MAR,0.1,S1,1005,xgb,0.9496754796931473,0.5020054819573415,0.0173474512994289
MAR,0.1,S1,1006,xgb,0.9415970937662287,0.5269011629260041,0.01699990183115002
MAR,0.1,S1,1007,xgb,0.9468763243261826,0.5052509969873049,0.01736820265650744
MAR,0.1,S1,1008,xgb,0.944541372560564,0.49265924494071056,0.01756993718445298
MAR,0.1,S1,1009,xgb,0.9445689627352483,0.5146646033306441,0.017118370905518498
MAR,0.1,S1,1010,xgb,0.9473934815539831,0.5288956723408014,0.01682219766080376
MAR,0.1,S1,1011,xgb,0.949097392750657,0.5128481528028044,0.01714810281991954
MAR,0.1,S1,1012,xgb,0.9508424891068529,0.5285359361748789,0.01695771813392638
MAR,0.1,S1,1013,xgb,0.9476878332090607,0.5194588991646091,0.017001051455736122
MAR,0.1,S1,1014,xgb,0.9441838635069694,0.5141340220194441,0.016903853416442818
MAR,0.1,S1,1015,xgb,0.9430664943123919,0.5056082416836165,0.017403113469481417
MAR,0.1,S1,1016,xgb,0.9472510122639776,0.5090043907309271,0.01717689465731376
MAR,0.1,S1,1017,xgb,0.9458692686832368,0.5111207882577504,0.0173104671761393
MAR,0.1,S1,1018,xgb,0.9485074639845565,0.5009130386078418,0.017473832517862258
MAR,0.1,S1,1019,xgb,0.953153048247479,0.5220725549236941,0.01687049902975556
MAR,0.1,S1,1020,xgb,0.9464219389263476,0.47569441111853283,0.01778220087289806
MAR,0.1,S2,1001,xgb,0.949044412516369,0.5150033428426048,0.01706687975674864
MAR,0.1,S2,1002,xgb,0.949930680730674,0.5072638531638974,0.01707313172519204
MAR,0.1,S2,1003,xgb,0.9486309122998111,0.5008360142019723,0.01734110619872804
MAR,0.1,S2,1004,xgb,0.9490740282565359,0.507760802833565,0.01689995620399708
MAR,0.1,S2,1005,xgb,0.9456476178590275,0.5045301637640103,0.01719234697520726
MAR,0.1,S2,1006,xgb,0.9490686873078193,0.5146217364849098,0.01703216955065722
MAR,0.1,S2,1007,xgb,0.9459892221837138,0.5118116867284137,0.01696153767406938
MAR,0.1,S2,1008,xgb,0.9490444630433185,0.502721128099177,0.01739770881831642
MAR,0.1,S2,1009,xgb,0.9402831176678041,0.4961555049795228,0.017268884554505298
MAR,0.1,S2,1010,xgb,0.9466551948071888,0.47473210646436315,0.01782149933278554
MAR,0.1,S2,1011,xgb,0.9487965243572166,0.5099159868964623,0.01705670375376936
MAR,0.1,S2,1012,xgb,0.9473688162159227,0.4970596687201899,0.01737591996788974
MAR,0.1,S2,1013,xgb,0.9485904777878014,0.4963801302251441,0.01733711771666998
MAR,0.1,S2,1014,xgb,0.9494212181204272,0.49402273597934176,0.01736102476716036
MAR,0.1,S2,1015,xgb,0.949765094580864,0.5055819558917394,0.017084373906254703
MAR,0.1,S2,1016,xgb,0.9522851312985416,0.5254033543854648,0.01684011742472644
MAR,0.1,S2,1017,xgb,0.9463479563926318,0.5039929104890561,0.01728776879608628
MAR,0.1,S2,1018,xgb,0.9427950401955698,0.49026704370585855,0.01723994985222812
MAR,0.1,S2,1019,xgb,0.9491889337611423,0.48860233054153734,0.0173591330647468
MAR,0.1,S2,1020,xgb,0.9436805921438903,0.48444199855338493,0.01765903457999224
MAR,0.2,S1,1001,xgb,0.9360564879982428,0.4387442075814373,0.01846688501536842
MAR,0.2,S1,1002,xgb,0.9290331289715917,0.45757898609335756,0.01815554760396474
MAR,0.2,S1,1003,xgb,0.9350998703873781,0.4452448817205159,0.01829287149012086
MAR,0.2,S1,1004,xgb,0.9380088504865357,0.4251749236663137,0.01886624731123442
MAR,0.2,S1,1005,xgb,0.9331316808076193,0.4087636456214785,0.01905264221131796
MAR,0.2,S1,1006,xgb,0.9302991173459436,0.4387917202401991,0.018694616854190778
MAR,0.2,S1,1007,xgb,0.9403381096794347,0.46584155850623465,0.01807397156953808
MAR,0.2,S1,1008,xgb,0.9305318791749212,0.43389337556503965,0.01860965713858598
MAR,0.2,S1,1009,xgb,0.9396164395868455,0.45785531042476035,0.0181854102760553
MAR,0.2,S1,1010,xgb,0.9344545646689492,0.433846951848881,0.018617328628897638
