mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,rf,1007,5,0.9500627632005184,0.5709015105772095,0.016450535520245,0.0106484887484671
MCAR,0.0,S1,xgb,1007,1,0.952089657963975,0.6105937158934888,0.0157685540616512,0.011696885445945
MCAR,0.0,S1,xgb,1007,2,0.961835860335052,0.5585112389269947,0.0159981567412614,0.0035484195152083
MCAR,0.0,S1,xgb,1007,3,0.9569665717437594,0.5432351742245979,0.0164553206413984,0.0078481945153689
MCAR,0.0,S1,xgb,1007,4,0.952057013281503,0.5447111839764458,0.0165983568876981,0.0079764017466045
MCAR,0.0,S1,xgb,1007,5,0.9637441286038224,0.600278581312754,0.0151979327201843,0.0054609082200649
MCAR,0.0,S1,extratrees,1007,1,0.9507690750860148,0.5757888713297187,0.0169922878949236,0.011314045675068
MCAR,0.0,S1,extratrees,1007,2,0.9619153903383874,0.5666153255535383,0.0165975447837752,0.0087150804924242
MCAR,0.0,S1,extratrees,1007,3,0.9453269709330666,0.5394015952975857,0.0169635722458964,0.0073893229166666
MCAR,0.0,S1,extratrees,1007,4,0.9521000364431488,0.5442989281401696,0.0172672358349116,0.0088772490530303
MCAR,0.0,S1,extratrees,1007,5,0.9453960155490768,0.5402665793153878,0.017646552790739,0.0139105120481938
MCAR,0.0,S1,lr_l2,1008,1,0.8854786480469541,0.4363763346767274,0.0186838459706281,0.0079441973701323
MCAR,0.0,S1,lr_l2,1008,2,0.8993509325534262,0.4246189100680062,0.0185839756752572,0.0027803078977043
MCAR,0.0,S1,lr_l2,1008,3,0.9274891608301906,0.5115229612985019,0.0172339287132537,0.0065007157484634
MCAR,0.0,S1,lr_l2,1008,4,0.8820203676708779,0.4658970990488359,0.0177952841963065,0.0044793918799841
MCAR,0.0,S1,lr_l2,1008,5,0.871178530936184,0.3570489755290073,0.0202016756791359,0.0054453155411969
MCAR,0.0,S1,svm_linear_cal,1008,1,0.8801861971260878,0.4632112617309222,0.018780265660804,0.0080428603227121
MCAR,0.0,S1,svm_linear_cal,1008,2,0.890848918648503,0.42934405697599,0.0185629659103642,0.003889362527496
MCAR,0.0,S1,svm_linear_cal,1008,3,0.9213166063777932,0.5188344498634285,0.0174534010658115,0.0092030546650453
MCAR,0.0,S1,svm_linear_cal,1008,4,0.8708444687398769,0.462657837731167,0.0178485776211201,0.0063677963345965
MCAR,0.0,S1,svm_linear_cal,1008,5,0.8580539358600583,0.3702689942127599,0.020182489927354,0.0068204961840507
MCAR,0.0,S1,rf,1008,1,0.9522414490993726,0.5493811428059029,0.0168855873683834,0.0054359797279137
MCAR,0.0,S1,rf,1008,2,0.9407809333230714,0.5189528195107282,0.0170639283459595,0.0052462121212121
MCAR,0.0,S1,rf,1008,3,0.9601990815567356,0.6106054429567521,0.0156114415640782,0.0081267755681818
MCAR,0.0,S1,rf,1008,4,0.953373015873016,0.6184126834672251,0.0154183926235481,0.0085435625908811
MCAR,0.0,S1,rf,1008,5,0.9368521218011012,0.5080111289395594,0.0175650015835103,0.0028743159129936
MCAR,0.0,S1,xgb,1008,1,0.9503642987249544,0.5401771027007447,0.0165611561387777,0.0062368221562416
MCAR,0.0,S1,xgb,1008,2,0.9515790553887992,0.5475314498655691,0.0163253713399171,0.0081708640316161
MCAR,0.0,S1,xgb,1008,3,0.9658636701813796,0.6277886230775291,0.014569878578186,0.0083321595878296
MCAR,0.0,S1,xgb,1008,4,0.9447481373501782,0.54741792526263,0.0165897812694311,0.008117410254972
MCAR,0.0,S1,xgb,1008,5,0.9459376012309686,0.5359625762768724,0.0168158188462257,0.0075165685668139
MCAR,0.0,S1,extratrees,1008,1,0.9486617081562436,0.5441073620181565,0.017308245572516,0.0093101408117382
MCAR,0.0,S1,extratrees,1008,2,0.9396059416608944,0.5018617832512784,0.017507646780303,0.0059327651515151
MCAR,0.0,S1,extratrees,1008,3,0.9596731573411325,0.620511978370103,0.0161462900489267,0.0091329308712121
MCAR,0.0,S1,extratrees,1008,4,0.9502500404923876,0.5934988277348588,0.0161130869239267,0.0097863399621212
MCAR,0.0,S1,extratrees,1008,5,0.938636317622287,0.4989931968324879,0.0178434156013257,0.0057936789772727
MCAR,0.0,S1,lr_l2,1009,1,0.8865260068811981,0.4001219359908222,0.0194957376488983,0.0037035105815288
MCAR,0.0,S1,lr_l2,1009,2,0.895241027219785,0.4094296158446752,0.0195575089701124,0.0101940569728686
