mechanism,rate,split,model,seed,auroc_mean,ap_mean,brier_mean,ece_mean,auroc_std,ap_std,brier_std
MAR,0.0,S1,xgb,1010,0.9523843870763748,0.5705778051779341,0.01582240685820574,0.00674137173170482,0.024125250439087833,0.063064804413751,0.0014462017634782475
MAR,0.0,S1,xgb,1011,0.9544375251639947,0.5771836333125859,0.01583817210048432,0.0071731747183383,0.0062280899738567305,0.022393309647203107,0.00040460451652322163
MAR,0.0,S1,xgb,1012,0.9567830059632003,0.5779814686407766,0.01571226250380272,0.00581285084221314,0.009425711829732026,0.06015570871324998,0.0013981701923786538
MAR,0.0,S1,xgb,1013,0.9564389419165785,0.554178534282477,0.016138713993132082,0.00664439111049238,0.003112728502967471,0.0430982274851015,0.0009733640950357141
MAR,0.0,S1,xgb,1014,0.9544847984862613,0.5591339167052946,0.01613870915025468,0.00910914380979568,0.01365317908207923,0.09697149421365427,0.0020913200881331547
MAR,0.0,S1,xgb,1015,0.9543621776080237,0.5790143433906465,0.01581012234091754,0.007396934885078241,0.012250613717699418,0.04134555383227054,0.0010550223195622647
MAR,0.0,S1,xgb,1016,0.9544051784842607,0.5646282142797541,0.0160878343507647,0.008387424315441299,0.00564317017106533,0.049408001923183724,0.0012956794603538073
MAR,0.0,S1,xgb,1017,0.9581064042925757,0.5862341142603955,0.01559020671993488,0.00602548586920718,0.009617808528861772,0.06188324391607795,0.0011097929334393211
MAR,0.0,S1,xgb,1018,0.9559385272454024,0.5693847746001302,0.015938506834208922,0.00669414187713734,0.009283084002955414,0.027822513371097698,0.0007522130248159572
MAR,0.0,S1,xgb,1019,0.960275807411079,0.5759214856933003,0.015814711526036203,0.00928319690678216,0.00610951874821554,0.04495645767528748,0.0012562148113635443
MAR,0.0,S1,xgb,1020,0.9552839155340621,0.5695190915410929,0.01589177399873728,0.00768059360522374,0.010335995590000776,0.06043791809135634,0.0013138335565917613
MAR,0.0,S2,extratrees,1001,0.9466189970212859,0.5261529601139092,0.01738529167666174,0.0099116115704423,0.005253076404267566,0.09233724949292037,0.0009807929421595096
MAR,0.0,S2,extratrees,1002,0.9463984225757411,0.5264163202304025,0.01731340681856992,0.00956203956514846,0.006366024990000417,0.09661614317628435,0.0008684354552120797
MAR,0.0,S2,extratrees,1003,0.9465881344391374,0.5359748655537693,0.01710214990190774,0.0092746156654403,0.006953519546131053,0.08837016903000325,0.000894685689247264
MAR,0.0,S2,extratrees,1004,0.946926242797933,0.540886742722894,0.01712827958424486,0.00986745554755484,0.007512302667423657,0.08954043939546903,0.0009622217289212583
